texmf-dist/tex/fontinst/base/finstmsc.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/fontinst/base/finstmsc.sty:34:22:34:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:34:27:34:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:37:30:37:30: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:39:18:39:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:39:26:39:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:42:5:42:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:42:13:42:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:43:16:43:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:44:12:44:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:44:16:44:23: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:44:24:44:24: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:44:30:44:37: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:44:38:44:38: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:44:42:44:49: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:44:50:44:50: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:44:54:44:61: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:44:62:44:62: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:46:17:46:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:54:9:54:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:57:9:57:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:62:10:62:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:63:10:63:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:64:10:64:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:65:10:65:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:66:10:66:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:67:10:67:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:68:10:68:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:69:10:69:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:70:10:70:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:71:10:71:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:72:10:72:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:73:9:73:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:74:9:74:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:75:9:75:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:76:7:76:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:77:10:77:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:78:13:78:25: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:78:26:78:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:79:13:79:25: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:79:26:79:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:80:13:80:24: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:80:25:80:25: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:81:13:81:28: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:81:29:81:29: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:82:13:82:25: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:82:26:82:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:83:10:83:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:83:36:83:36: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:84:5:84:9: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:84:10:84:10: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:85:5:85:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:85:13:85:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:86:5:86:10: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:86:11:86:11: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:87:5:87:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:87:19:87:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:88:5:88:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:88:16:88:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:89:5:89:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:89:16:89:16: s204 missing stylistic whitespaces
