texmf-dist/tex/fontinst/base/fontinst.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/fontinst/base/fontinst.sty:36:22:36:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:36:27:36:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:39:30:39:30: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:41:18:41:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:41:26:41:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:44:5:44:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:44:5:44:12: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:44:13:44:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:45:16:45:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:46:12:46:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:46:16:46:23: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:46:24:46:24: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:46:30:46:37: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:46:38:46:38: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:46:42:46:49: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:46:50:46:50: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:46:54:46:61: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:46:62:46:62: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:48:17:48:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:56:9:56:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:59:9:59:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:64:10:64:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:65:10:65:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:66:10:66:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:67:10:67:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:68:10:68:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:69:10:69:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:70:10:70:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:71:10:71:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:72:10:72:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:73:10:73:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:74:10:74:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:75:9:75:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:76:9:76:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:77:9:77:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:78:7:78:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:79:10:79:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:80:13:80:25: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:80:26:80:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:81:13:81:25: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:81:26:81:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:82:13:82:24: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:82:25:82:25: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:83:13:83:28: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:83:29:83:29: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:84:13:84:25: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:84:26:84:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:85:10:85:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:85:36:85:36: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:86:5:86:9: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:86:5:86:9: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:86:10:86:10: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:87:5:87:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:87:5:87:12: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:87:13:87:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:88:5:88:10: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:88:5:88:10: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:88:11:88:11: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:89:5:89:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:89:5:89:18: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:89:19:89:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:90:5:90:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:90:5:90:15: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:90:16:90:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:91:5:91:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:91:5:91:15: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:91:16:91:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:92:5:92:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:92:5:92:17: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:92:18:92:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:93:5:93:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:93:5:93:17: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:93:18:93:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:94:5:94:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:94:5:94:17: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:94:18:94:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:95:5:95:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:95:5:95:18: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:95:19:95:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:96:5:96:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:96:5:96:13: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:96:14:96:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:97:5:97:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:97:5:97:19: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:97:20:97:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:105:9:105:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:105:9:105:18: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:105:19:105:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:106:9:106:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:106:22:106:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:107:9:107:24: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:107:25:107:25: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:107:26:107:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:107:27:107:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:108:9:108:25: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:108:26:108:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:108:27:108:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:108:28:108:28: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:110:5:110:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:110:5:110:15: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:110:16:110:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:110:21:110:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:111:5:111:11: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:111:5:111:11: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:111:12:111:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:112:10:112:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:118:5:118:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:118:5:118:12: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:118:13:118:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:119:10:119:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:125:5:125:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:125:5:125:13: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:125:14:125:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:126:7:126:29: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:128:18:128:35: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:141:20:141:37: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:144:17:144:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:150:22:150:30: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:156:33:156:43: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:157:42:157:42: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:168:12:168:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:168:12:168:19: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:168:20:168:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:170:33:170:33: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:172:22:172:35: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:172:36:172:43: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:174:53:174:61: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:181:5:181:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:181:5:181:13: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:181:14:181:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:182:22:182:30: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:182:31:182:31: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:182:40:182:52: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:182:40:182:52: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:182:53:182:53: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:182:57:182:57: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:183:5:183:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:183:5:183:14: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:183:15:183:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:184:22:184:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:184:50:184:50: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:184:51:184:51: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:185:23:185:31: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:185:32:185:32: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:186:5:186:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:186:5:186:13: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:186:14:186:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:186:33:186:41: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:186:42:186:42: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:186:46:186:46: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:187:6:187:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:187:6:187:15: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:187:16:187:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:187:28:187:36: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:187:37:187:37: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:187:59:187:59: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:188:6:188:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:188:6:188:16: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:188:17:188:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:189:13:189:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:189:22:189:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:191:5:191:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:191:5:191:17: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:191:18:191:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:191:45:191:45: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:192:9:192:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:192:23:192:23: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:193:11:193:11: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:193:26:193:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:193:27:193:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:193:28:193:40: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:194:11:194:11: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:194:26:194:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:194:27:194:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:194:40:194:40: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:195:5:195:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:195:5:195:20: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:195:21:195:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:196:12:196:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:197:12:197:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:198:26:198:33: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:200:17:200:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:200:34:200:41: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:200:42:200:42: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:200:43:200:55: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:201:18:201:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:201:19:201:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:202:18:202:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:205:19:205:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:208:18:208:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:209:17:209:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:209:27:209:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:209:44:209:51: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:209:52:209:52: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:209:53:209:65: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:210:33:210:40: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:210:70:210:70: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:218:19:218:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:222:5:222:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:222:5:222:14: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:222:15:222:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:224:19:224:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:225:32:225:32: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:231:25:231:32: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:231:33:231:33: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:231:36:231:43: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:232:18:232:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:232:35:232:42: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:232:43:232:43: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:232:44:232:44: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:233:25:233:32: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:236:5:236:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:236:5:236:15: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:236:16:236:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:237:14:237:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:238:19:238:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:239:31:239:31: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:242:48:242:48: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:245:17:245:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:245:27:245:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:245:47:245:47: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:245:48:245:60: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:247:25:247:38: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:250:5:250:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:250:5:250:14: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:250:15:250:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:250:42:250:42: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:251:6:251:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:251:6:251:16: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:251:17:251:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:251:31:251:40: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:251:41:251:41: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:251:65:251:65: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:252:6:252:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:252:6:252:17: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:252:18:252:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:253:13:253:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:253:23:253:23: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:255:27:255:38: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:255:27:255:38: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:255:39:255:39: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:255:43:255:43: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:258:5:258:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:258:5:258:13: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:258:14:258:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:259:5:259:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:259:5:259:12: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:259:13:259:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:260:16:260:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:260:19:260:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:261:27:261:34: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:262:8:262:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:262:8:262:18: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:262:19:262:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:275:8:275:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:275:8:275:20: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:275:21:275:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:275:41:275:51: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:275:52:275:52: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:276:13:276:18: s204 missing stylistic whitespaces
