texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:2:14:2:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:2:54:2:54: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:2:55:2:55: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:11:1:11:101: s103 line too long
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:11:102:11:102: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:20:7:20:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:21:8:21:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:23:16:23:16: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:23:17:23:17: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:24:38:24:57: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:24:65:24:65: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:24:66:24:66: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:24:71:24:71: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:25:38:25:52: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:25:65:25:65: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:25:66:25:66: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:25:71:25:71: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:26:38:26:52: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:26:65:26:65: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:26:66:26:66: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:26:71:26:71: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:27:28:27:41: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:28:38:28:50: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:28:65:28:65: s204 missing stylistic whitespaces
