texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:77:1:77:89: s103 line too long
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:77:19:77:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:77:20:77:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:77:28:77:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:77:29:77:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:77:30:77:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:77:33:77:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:77:34:77:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:77:36:77:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:77:37:77:46: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:77:47:77:68: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:77:69:77:69: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:77:70:77:83: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:77:84:77:84: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:77:88:77:88: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:77:89:77:89: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:79:19:79:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:79:20:79:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:79:28:79:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:79:29:79:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:79:30:79:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:79:38:79:38: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:79:39:79:39: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:79:40:79:40: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:83:19:83:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:83:20:83:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:83:28:83:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:83:29:83:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:83:30:83:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:83:40:83:40: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:83:41:83:41: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:83:43:83:43: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:83:44:83:44: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:84:15:84:39: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:84:40:84:40: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:84:41:84:54: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:84:55:84:55: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:84:59:84:59: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:87:19:87:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:87:20:87:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/pstricks/pst-code-pspicture.tex:87:28:87:28: s204 missing stylistic whitespaces
