texmf-dist/tex/generic/scontents/scontents-code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/generic/scontents/scontents-code.tex:30:28:30:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:30:38:30:38: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:30:39:30:39: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:34:23:34:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:37:36:37:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:39:10:39:10: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:41:23:41:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:42:36:42:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:42:37:42:37: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:43:10:43:10: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:47:8:47:8: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:48:23:48:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:48:32:48:32: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:48:33:48:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:48:34:48:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:48:62:48:62: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:49:12:49:12: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:50:1:50:83: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:52:12:52:12: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:55:8:55:8: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:60:10:60:10: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:61:25:61:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:61:34:61:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:61:35:61:35: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:61:36:61:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:61:71:61:71: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:62:14:62:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:66:14:66:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:69:10:69:10: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:141:1:141:81: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:145:57:145:73: w200 "do not use" argument specifiers
texmf-dist/tex/generic/scontents/scontents-code.tex:200:1:200:84: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:201:1:201:81: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:205:1:205:83: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:213:1:213:82: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:214:1:214:81: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:221:1:221:85: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:274:1:274:94: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:277:1:277:93: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:280:42:280:71: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:332:1:332:90: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:348:1:348:89: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:353:1:353:88: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:353:84:353:84: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:353:86:353:86: s204 missing stylistic whitespaces
texmf-dist/tex/generic/scontents/scontents-code.tex:425:1:425:82: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:437:1:437:92: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:530:26:530:35: s206 malformed variable or constant name
texmf-dist/tex/generic/scontents/scontents-code.tex:531:1:531:97: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:629:1:629:85: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:654:49:654:63: w200 "do not use" argument specifiers
texmf-dist/tex/generic/scontents/scontents-code.tex:655:50:655:67: w200 "do not use" argument specifiers
texmf-dist/tex/generic/scontents/scontents-code.tex:663:24:663:41: s206 malformed variable or constant name
texmf-dist/tex/generic/scontents/scontents-code.tex:663:24:663:41: w200 "do not use" argument specifiers
texmf-dist/tex/generic/scontents/scontents-code.tex:666:31:666:45: w200 "do not use" argument specifiers
texmf-dist/tex/generic/scontents/scontents-code.tex:671:13:671:31: w200 "do not use" argument specifiers
texmf-dist/tex/generic/scontents/scontents-code.tex:694:1:694:89: s103 line too long
texmf-dist/tex/generic/scontents/scontents-code.tex:699:1:699:85: s103 line too long
