texmf-dist/tex/generic/tap/tap.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/generic/tap/tap.tex:70:21:70:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:70:22:70:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:71:70:71:70: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:71:71:71:71: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:78:21:78:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:78:22:78:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:78:23:78:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:85:18:85:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:91:23:91:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:91:33:91:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:91:34:91:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:92:30:92:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:92:36:92:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:92:37:92:37: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:98:5:98:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:98:19:98:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:98:32:98:32: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:99:33:99:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:100:8:100:8: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:100:17:100:17: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:101:8:101:8: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:101:20:101:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:102:8:102:8: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:102:20:102:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:103:8:103:8: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:103:28:103:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:104:8:104:8: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:104:17:104:17: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:105:8:105:8: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:105:19:105:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:106:8:106:8: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:106:17:106:17: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:107:31:107:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:108:31:108:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:109:2:109:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:113:13:113:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:114:13:114:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:118:6:118:6: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:128:10:128:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:128:35:128:35: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:133:44:133:44: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:135:36:135:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:136:51:136:51: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:142:5:142:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:142:26:142:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:142:27:142:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:142:32:142:32: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:142:33:142:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:143:39:143:59: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:146:8:146:17: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:148:8:148:15: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:153:22:153:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:153:27:153:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:169:28:169:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:172:19:172:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:173:10:173:17: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:173:24:173:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:173:27:173:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:173:28:173:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:174:21:174:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:174:33:174:40: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:174:45:174:52: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:174:57:174:64: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:181:34:181:46: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:182:5:182:17: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:182:18:182:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:184:36:184:50: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:185:5:185:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:185:20:185:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:185:37:185:52: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:186:5:186:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:186:21:186:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:186:38:186:54: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:187:5:187:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:187:22:187:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:189:39:189:56: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:190:5:190:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:190:23:190:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:190:40:190:58: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:191:5:191:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:191:24:191:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:191:41:191:60: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:192:5:192:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:192:25:192:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:206:5:206:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:206:24:206:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:206:25:206:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:207:29:207:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:208:18:208:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:208:26:208:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:208:59:208:66: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:211:19:211:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:221:20:221:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:240:7:240:17: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:241:8:241:16: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:242:30:242:43: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:242:48:242:60: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:242:66:242:74: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:242:75:242:75: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:243:30:243:42: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:243:47:243:59: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:243:65:243:73: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:243:74:243:74: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:244:30:244:43: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:244:48:244:60: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:244:66:244:74: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:244:75:244:75: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:245:30:245:42: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:245:47:245:59: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:245:65:245:73: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:245:74:245:74: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:246:5:246:13: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:246:14:246:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:246:22:246:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:246:35:246:35: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:246:39:246:39: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:247:7:247:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:249:5:249:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:249:15:249:15: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:249:18:249:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:250:10:250:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:250:19:250:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:250:32:250:32: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:250:33:250:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:258:13:258:13: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:260:21:260:42: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:262:28:262:48: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:265:4:265:4: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:266:25:266:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:266:34:266:42: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:266:57:266:65: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:269:5:269:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:269:15:269:15: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:269:18:269:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:270:10:270:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:270:19:270:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:270:32:270:32: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:275:11:275:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:276:11:276:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:280:11:280:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:284:19:284:40: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:287:26:287:46: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:288:4:288:4: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:289:26:289:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:289:35:289:43: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:289:58:289:66: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:293:26:293:37: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:293:43:293:54: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:293:55:293:55: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:294:7:294:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:294:19:294:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:295:7:295:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:295:19:295:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:295:31:295:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:296:7:296:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:296:19:296:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:296:26:296:37: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:296:38:296:38: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:298:47:298:47: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:300:15:300:15: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:300:57:300:57: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:301:62:301:62: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:301:70:301:70: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:302:75:302:75: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:321:5:321:10: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:321:11:321:11: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:322:42:322:51: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:323:5:323:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:323:15:323:15: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:323:16:323:16: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:328:5:328:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:328:24:328:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:328:25:328:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:331:49:331:58: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:332:9:332:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:332:19:332:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:332:21:332:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:333:28:333:37: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:333:38:333:38: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tap/tap.tex:333:39:333:39: s204 missing stylistic whitespaces
