texmf-dist/tex/generic/termmenu/termmenu.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/generic/termmenu/termmenu.tex:46:19:46:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/termmenu/termmenu.tex:46:27:46:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/termmenu/termmenu.tex:47:22:47:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/termmenu/termmenu.tex:47:25:47:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/termmenu/termmenu.tex:48:19:48:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/termmenu/termmenu.tex:48:29:48:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/termmenu/termmenu.tex:49:26:49:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/termmenu/termmenu.tex:49:54:49:54: s204 missing stylistic whitespaces
texmf-dist/tex/generic/termmenu/termmenu.tex:50:24:50:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/termmenu/termmenu.tex:50:27:50:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/termmenu/termmenu.tex:85:11:85:29: w415 unused variable or constant
texmf-dist/tex/generic/termmenu/termmenu.tex:144:32:144:32: s204 missing stylistic whitespaces
texmf-dist/tex/generic/termmenu/termmenu.tex:144:33:144:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/termmenu/termmenu.tex:147:34:147:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/termmenu/termmenu.tex:147:35:147:35: s204 missing stylistic whitespaces
