texmf-dist/tex/generic/tuple/tuple.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/generic/tuple/tuple.tex:6:36:6:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:6:41:6:41: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:7:37:7:37: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:7:40:7:40: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:9:34:9:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:9:44:9:44: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:33:1:33:96: s103 line too long
texmf-dist/tex/generic/tuple/tuple.tex:36:5:36:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:36:23:36:38: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:36:39:36:39: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:37:5:37:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:37:21:37:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:38:11:38:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:38:23:38:37: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:38:41:38:56: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:39:3:39:3: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:40:6:40:15: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:40:16:40:16: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:40:44:40:44: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:40:45:40:45: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:40:75:40:75: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:40:76:40:76: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:40:77:40:77: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:42:3:42:3: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:43:6:43:15: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:43:16:43:16: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:43:31:43:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:43:67:43:67: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:43:68:43:68: s204 missing stylistic whitespaces
