texmf-dist/tex/generic/xint/xintcore.sty:1933:10:1933:36: e201 unknown argument specifiers
texmf-dist/tex/generic/xint/xintcore.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/generic/xint/xintcore.sty:39:20:39:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:44:26:44:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:44:27:44:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:44:30:44:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:46:69:46:69: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:46:70:46:70: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:48:29:48:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:48:37:48:37: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:48:38:48:38: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:48:77:48:77: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:48:78:48:78: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:50:31:50:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:54:54:54:54: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:60:45:60:45: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:60:55:60:55: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:60:56:60:56: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:60:57:60:57: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:63:35:63:35: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:70:18:70:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:70:26:70:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:70:27:70:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:81:5:81:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:81:27:81:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:81:37:81:37: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:81:38:81:38: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:81:54:81:54: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:81:55:81:55: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:81:56:81:56: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:82:5:82:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:82:29:82:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:82:36:82:57: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:82:58:82:58: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:83:5:83:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:83:28:83:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:83:58:83:58: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:84:5:84:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:84:25:84:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:84:58:84:58: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:86:5:86:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:86:42:86:64: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:88:33:88:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:88:67:88:67: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:89:22:89:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:89:34:89:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:89:35:89:35: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:89:39:89:39: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:89:40:89:40: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:89:44:89:44: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:89:45:89:45: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:90:5:90:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:90:40:90:40: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:92:20:92:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:92:59:92:59: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:92:60:92:60: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:94:17:94:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:96:20:96:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:96:59:96:59: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:96:60:96:60: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:98:17:98:17: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:98:18:98:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:101:29:101:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:101:33:101:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:104:24:104:24: s204 missing stylistic whitespaces
