texmf-dist/tex/generic/xint/xintkernel.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/generic/xint/xintkernel.sty:41:26:41:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:41:27:41:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:41:30:41:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:43:69:43:69: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:43:70:43:70: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:45:29:45:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:45:39:45:39: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:45:40:45:40: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:45:79:45:79: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:45:80:45:80: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:47:31:47:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:51:34:51:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:56:4:56:4: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:59:8:59:8: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:95:8:95:8: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:97:8:97:8: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:99:8:99:8: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:101:8:101:8: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:137:8:137:8: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:139:4:139:4: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:141:25:141:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:143:8:143:8: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:145:8:145:8: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:147:2:147:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:149:9:149:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:149:52:149:52: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:149:53:149:53: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:150:34:150:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:150:35:150:35: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:150:39:150:39: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:152:69:152:69: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:154:10:154:10: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:156:9:156:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:156:52:156:52: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:156:53:156:53: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:157:32:157:32: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:157:33:157:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:157:48:157:48: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:158:63:158:63: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:159:10:159:10: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:162:19:162:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:162:29:162:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:162:30:162:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:164:9:164:16: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:165:9:165:17: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:166:9:166:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:167:9:167:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:168:9:168:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:169:9:169:17: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:170:9:170:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:171:9:171:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:172:9:172:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:173:9:173:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:174:9:174:17: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:175:9:175:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:176:9:176:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:177:9:177:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:178:9:178:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:179:9:179:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:180:9:180:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:181:9:181:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:182:9:182:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:182:19:182:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:183:9:183:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:183:19:183:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:184:9:184:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:184:19:184:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:185:13:185:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:185:23:185:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:186:13:186:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:186:23:186:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:187:13:187:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:187:22:187:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:188:35:188:57: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:189:35:189:57: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:190:5:190:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:190:38:190:60: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:190:61:190:75: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:191:11:191:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:192:29:192:38: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:192:39:192:39: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:193:13:193:13: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:194:29:194:38: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:194:39:194:39: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:195:13:195:13: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:197:5:197:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:197:19:197:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:198:5:198:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:199:22:199:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:199:23:199:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:199:50:199:50: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:199:51:199:51: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:200:22:200:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:200:36:200:45: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:201:39:201:39: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:201:40:201:40: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:202:22:202:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:202:38:202:38: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:203:14:203:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:204:22:204:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:206:71:206:71: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:206:72:206:72: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:208:5:208:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:208:18:208:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:209:5:209:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:210:22:210:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:210:23:210:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:210:50:210:50: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:210:51:210:51: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:211:22:211:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:212:39:212:39: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:212:40:212:40: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:213:22:213:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:213:38:213:38: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:214:14:214:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:215:22:215:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:216:71:216:71: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:216:72:216:72: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:218:5:218:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:219:5:219:17: s204 missing stylistic whitespaces
