texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:31:5:31:19: w200 "do not use" argument specifiers
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:59:17:59:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:59:20:59:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:61:15:61:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:61:27:61:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:61:28:61:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:61:29:61:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:61:37:61:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:62:4:62:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:63:46:63:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:64:16:64:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:64:28:64:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:64:29:64:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:64:30:64:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:64:45:64:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:65:4:65:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:65:40:65:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:66:4:66:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:67:18:67:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:76:5:76:5: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:76:21:76:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:76:22:76:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:76:23:76:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:76:24:76:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:76:25:76:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:76:26:76:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:76:27:76:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:76:28:76:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:76:29:76:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:76:32:76:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:77:5:77:5: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:77:21:77:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:77:22:77:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:77:23:77:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:77:24:77:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:77:25:77:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:77:26:77:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:77:27:77:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:77:28:77:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:92:5:92:5: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:92:21:92:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:92:22:92:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:92:23:92:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:92:24:92:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:92:25:92:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:92:26:92:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:92:27:92:27: s204 missing stylistic whitespaces
