texmf-dist/tex/latex/bookshelf/bookshelf.cls:221:1:221:72: w401 unused private function
texmf-dist/tex/latex/bookshelf/bookshelf.cls:221:68:221:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bookshelf/bookshelf.cls:221:72:221:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bookshelf/bookshelf.cls:223:5:223:21: w200 "do not use" argument specifiers
texmf-dist/tex/latex/bookshelf/bookshelf.cls:229:48:229:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bookshelf/bookshelf.cls:229:50:229:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bookshelf/bookshelf.cls:231:13:231:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bookshelf/bookshelf.cls:234:57:234:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bookshelf/bookshelf.cls:236:18:236:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bookshelf/bookshelf.cls:240:18:240:29: w302 unbraced n-type function call argument
texmf-dist/tex/latex/bookshelf/bookshelf.cls:240:32:240:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bookshelf/bookshelf.cls:240:49:240:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bookshelf/bookshelf.cls:240:52:240:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bookshelf/bookshelf.cls:240:70:240:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bookshelf/bookshelf.cls:243:49:243:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bookshelf/bookshelf.cls:243:50:243:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bookshelf/bookshelf.cls:245:41:245:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bookshelf/bookshelf.cls:245:42:245:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bookshelf/bookshelf.cls:246:25:246:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bookshelf/bookshelf.cls:246:29:246:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bookshelf/bookshelf.cls:246:33:246:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bookshelf/bookshelf.cls:252:12:252:28: s413 malformed variable or constant name
texmf-dist/tex/latex/bookshelf/bookshelf.cls:253:37:253:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bookshelf/bookshelf.cls:253:38:253:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bookshelf/bookshelf.cls:253:41:253:41: s204 missing stylistic whitespaces
