texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:39:1:39:82: s103 line too long
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:114:11:114:28: w200 "do not use" argument specifiers
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:114:43:114:52: w200 "do not use" argument specifiers
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:115:28:115:41: w200 "do not use" argument specifiers
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:123:11:123:28: w200 "do not use" argument specifiers
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:123:43:123:52: w200 "do not use" argument specifiers
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:124:28:124:41: w200 "do not use" argument specifiers
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:154:44:154:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:154:46:154:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:154:47:154:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:154:48:154:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:154:50:154:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:154:51:154:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:154:52:154:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:154:54:154:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:157:41:157:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:157:43:157:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:157:44:157:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:157:45:157:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:157:47:157:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:157:48:157:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:157:49:157:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:157:51:157:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:160:42:160:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:160:44:160:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:160:45:160:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:160:46:160:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:160:48:160:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:160:49:160:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:160:50:160:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:160:52:160:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:163:43:163:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:163:45:163:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:163:46:163:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:163:47:163:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:163:49:163:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:163:50:163:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:163:51:163:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:163:53:163:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:166:42:166:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:166:44:166:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:166:45:166:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:166:46:166:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:166:48:166:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:166:49:166:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:166:50:166:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:166:52:166:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:169:41:169:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:169:43:169:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:169:44:169:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:169:45:169:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:169:47:169:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:169:48:169:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:169:49:169:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:169:51:169:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:172:44:172:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:172:46:172:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:172:47:172:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:172:48:172:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:172:50:172:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:172:51:172:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/bxjaholiday/bxjaholiday.sty:172:52:172:52: s204 missing stylistic whitespaces
