texmf-dist/tex/latex/circledtext/circledtext.sty:1178:19:1178:42: e421 globally setting a local variable
texmf-dist/tex/latex/circledtext/circledtext.sty:31:9:31:22: w200 "do not use" argument specifiers
texmf-dist/tex/latex/circledtext/circledtext.sty:38:34:38:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:38:39:38:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:44:10:44:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:87:15:87:44: w415 unused variable or constant
texmf-dist/tex/latex/circledtext/circledtext.sty:93:15:93:41: w415 unused variable or constant
texmf-dist/tex/latex/circledtext/circledtext.sty:95:15:95:41: w415 unused variable or constant
texmf-dist/tex/latex/circledtext/circledtext.sty:129:57:129:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:129:59:129:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:139:58:139:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:139:61:139:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:188:24:188:34: w302 unbraced n-type function call argument
texmf-dist/tex/latex/circledtext/circledtext.sty:188:38:188:48: w302 unbraced n-type function call argument
texmf-dist/tex/latex/circledtext/circledtext.sty:248:1:248:70: w402 unused private function variant
texmf-dist/tex/latex/circledtext/circledtext.sty:265:14:265:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:285:14:285:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:305:14:305:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:324:14:324:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:327:1:327:88: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:327:84:327:84: s204 missing stylistic whitespaces
