texmf-dist/tex/latex/citation-style-language/citation-style-language-init.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/citation-style-language/citation-style-language-init.sty:41:1:41:82: s103 line too long
texmf-dist/tex/latex/citation-style-language/citation-style-language-init.sty:95:12:95:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/citation-style-language/citation-style-language-init.sty:95:28:95:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/citation-style-language/citation-style-language-init.sty:96:12:96:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/citation-style-language/citation-style-language-init.sty:96:22:96:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/citation-style-language/citation-style-language-init.sty:97:12:97:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/citation-style-language/citation-style-language-init.sty:97:29:97:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/citation-style-language/citation-style-language-init.sty:133:1:133:102: s103 line too long
texmf-dist/tex/latex/citation-style-language/citation-style-language-init.sty:397:1:397:81: s103 line too long
texmf-dist/tex/latex/citation-style-language/citation-style-language-init.sty:419:1:419:81: s103 line too long
texmf-dist/tex/latex/citation-style-language/citation-style-language-init.sty:427:1:427:88: s103 line too long
