texmf-dist/tex/latex/cnltx/cnltx-base.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/cnltx/cnltx-base.sty:28:18:28:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:28:28:28:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:29:21:29:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:29:26:29:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:30:18:30:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:30:61:30:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:31:1:31:83: s103 line too long
texmf-dist/tex/latex/cnltx/cnltx-base.sty:31:18:31:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:31:28:31:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:31:29:31:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:32:17:32:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:32:52:32:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:43:43:43:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:45:40:45:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:45:45:45:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:45:46:45:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:46:40:46:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:46:47:46:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:46:48:46:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:46:49:46:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:54:48:54:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:54:49:54:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:55:18:55:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:55:19:55:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:55:24:55:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:56:6:56:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:57:31:57:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:57:32:57:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:57:36:57:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:58:21:58:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:58:25:58:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:58:30:58:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:58:34:58:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:58:35:58:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:59:6:59:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:59:7:59:7: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:60:31:60:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:60:32:60:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:60:36:60:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:61:21:61:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:61:25:61:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:61:30:61:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:61:31:61:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:62:6:62:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:70:35:70:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:72:32:72:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:72:37:72:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:72:38:72:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:73:32:73:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:73:39:73:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:73:40:73:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:73:41:73:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:80:40:80:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:80:41:80:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:81:18:81:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:81:19:81:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:81:24:81:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:82:6:82:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:83:31:83:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:83:32:83:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:83:39:83:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:84:21:84:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:84:25:84:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:84:30:84:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:84:35:84:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:84:36:84:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:85:6:85:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:85:7:85:7: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:86:31:86:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:86:32:86:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:86:36:86:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:87:21:87:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:87:25:87:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:87:30:87:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:87:31:87:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:88:6:88:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:91:34:91:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:92:49:92:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:97:42:97:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:99:39:99:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:99:44:99:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:99:45:99:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:100:39:100:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:100:46:100:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:100:47:100:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:100:48:100:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:103:47:103:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:103:48:103:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:106:6:106:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:107:6:107:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:109:27:109:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:112:30:112:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:112:34:112:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:112:35:112:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:112:36:112:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:112:41:112:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:113:30:113:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:113:34:113:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:113:35:113:35: s204 missing stylistic whitespaces
