texmf-dist/tex/latex/codedescribe/codedescribe.sty:1381:9:1381:64: t422 using a variable of an incompatible type
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/codedescribe/codedescribe.sty:21:17:21:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:21:24:21:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:21:25:21:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:32:17:32:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:32:28:32:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:33:34:33:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:33:46:33:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:35:21:35:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:35:33:35:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:36:21:36:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:36:29:36:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:37:21:37:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:37:31:37:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:38:21:38:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:38:26:38:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:39:21:39:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:39:57:39:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:45:9:45:9: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:45:27:45:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:49:17:49:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:49:30:49:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:50:17:50:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:50:35:50:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:52:37:52:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:52:39:52:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:53:39:53:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:53:41:53:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:54:42:54:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:54:44:54:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:55:47:55:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:55:49:55:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:56:39:56:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:56:44:56:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:57:43:57:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:57:48:57:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:58:38:58:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:58:40:58:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:60:57:60:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:60:59:60:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:60:62:60:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:60:64:60:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:72:56:72:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:72:63:72:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:105:38:105:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:105:48:105:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:115:18:115:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:115:39:115:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:150:49:150:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:150:59:150:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:151:12:151:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:151:20:151:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:151:69:151:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:159:19:159:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:159:40:159:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:159:41:159:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:164:22:164:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:164:43:164:43: s204 missing stylistic whitespaces
