texmf-dist/tex/latex/codedescribe/codelisting.sty:800:1:800:20: e408 calling an undefined function
texmf-dist/tex/latex/codedescribe/codelisting.sty:821:5:821:26: e408 calling an undefined function
texmf-dist/tex/latex/codedescribe/codelisting.sty:831:5:831:26: e408 calling an undefined function
texmf-dist/tex/latex/codedescribe/codelisting.sty:933:5:933:26: e408 calling an undefined function
texmf-dist/tex/latex/codedescribe/codelisting.sty:971:5:971:26: e408 calling an undefined function
texmf-dist/tex/latex/codedescribe/codelisting.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/codedescribe/codelisting.sty:21:17:21:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codelisting.sty:21:24:21:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codelisting.sty:21:25:21:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codelisting.sty:32:17:32:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codelisting.sty:32:28:32:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codelisting.sty:33:34:33:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codelisting.sty:33:45:33:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codelisting.sty:35:21:35:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codelisting.sty:35:32:35:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codelisting.sty:36:21:36:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codelisting.sty:36:29:36:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codelisting.sty:37:21:37:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codelisting.sty:37:31:37:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codelisting.sty:38:21:38:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codelisting.sty:38:25:38:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codelisting.sty:39:21:39:21: s204 missing stylistic whitespaces
