texmf-dist/tex/latex/copyedit/copyedit.sty:119:21:119:34: w202 deprecated control sequences
texmf-dist/tex/latex/copyedit/copyedit.sty:182:39:182:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:209:14:209:27: s413 malformed variable or constant name
texmf-dist/tex/latex/copyedit/copyedit.sty:212:19:212:32: s413 malformed variable or constant name
texmf-dist/tex/latex/copyedit/copyedit.sty:213:21:213:34: s413 malformed variable or constant name
texmf-dist/tex/latex/copyedit/copyedit.sty:223:24:223:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:223:30:223:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:223:36:223:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:223:37:223:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:225:17:225:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:225:25:225:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:227:17:227:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:227:27:227:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:227:28:227:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:228:17:228:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:228:32:228:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:228:51:228:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:228:55:228:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:228:66:228:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:229:17:229:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:229:35:229:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:229:36:229:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:231:38:231:48: w200 "do not use" argument specifiers
texmf-dist/tex/latex/copyedit/copyedit.sty:231:61:231:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:231:67:231:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:231:68:231:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:240:41:240:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:240:71:240:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:261:39:261:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:261:45:261:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:262:14:262:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:262:21:262:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:262:37:262:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:262:43:262:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:263:14:263:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:263:21:263:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:263:37:263:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:263:43:263:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:264:14:264:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:264:20:264:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:264:36:264:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:264:44:264:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:265:14:265:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:265:20:265:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:265:36:265:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:265:43:265:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:266:14:266:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:266:20:266:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:267:29:267:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:267:38:267:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:267:39:267:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:267:46:267:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:270:39:270:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:270:47:270:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:271:14:271:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:271:23:271:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:271:39:271:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:271:47:271:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:272:14:272:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:272:23:272:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:272:39:272:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:272:47:272:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:273:14:273:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:273:22:273:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:273:38:273:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:273:48:273:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:274:14:274:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:274:22:274:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:274:38:274:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:274:47:274:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:275:14:275:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:275:22:275:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:276:29:276:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:276:38:276:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:276:39:276:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:276:48:276:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:279:43:279:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:279:49:279:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:280:14:280:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:280:21:280:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:280:37:280:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:280:43:280:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:281:14:281:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:281:21:281:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:281:37:281:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:281:43:281:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:282:14:282:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:282:20:282:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:282:36:282:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:282:44:282:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:283:14:283:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:283:20:283:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:283:36:283:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:283:43:283:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:284:14:284:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:284:20:284:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:285:33:285:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:285:46:285:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:285:47:285:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:285:54:285:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:288:43:288:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:288:51:288:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:289:14:289:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:289:23:289:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:289:39:289:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:289:47:289:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:290:14:290:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:290:23:290:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:290:39:290:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:290:47:290:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:291:14:291:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:291:22:291:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:291:38:291:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:291:48:291:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:292:14:292:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:292:22:292:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:292:38:292:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:292:47:292:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:293:14:293:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:293:22:293:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:294:33:294:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:294:46:294:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:294:47:294:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:294:56:294:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:300:23:300:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:300:32:300:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:302:23:302:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:302:32:302:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:304:23:304:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:304:32:304:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:304:33:304:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:305:23:305:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:305:32:305:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:305:33:305:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:306:23:306:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:306:33:306:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:308:23:308:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:308:33:308:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:317:21:317:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:317:30:317:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:318:21:318:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:318:30:318:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:319:21:319:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:319:30:319:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:320:21:320:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:320:30:320:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:321:21:321:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:321:31:321:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:322:21:322:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/copyedit/copyedit.sty:322:31:322:31: s204 missing stylistic whitespaces
