texmf-dist/tex/latex/econlipsum/econlipsum.sty:31:5:31:19: w200 "do not use" argument specifiers
texmf-dist/tex/latex/econlipsum/econlipsum.sty:59:17:59:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:59:20:59:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:61:15:61:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:61:25:61:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:61:26:61:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:61:27:61:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:61:35:61:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:62:4:62:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:63:46:63:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:64:16:64:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:64:26:64:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:64:27:64:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:64:28:64:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:64:43:64:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:65:4:65:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:65:40:65:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:66:4:66:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:67:18:67:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:76:5:76:5: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:76:21:76:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:76:22:76:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:76:23:76:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:76:24:76:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:76:25:76:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:76:26:76:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:76:27:76:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:76:28:76:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:76:29:76:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:76:32:76:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:77:5:77:5: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:77:21:77:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:77:22:77:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:77:23:77:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:77:24:77:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:77:25:77:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:77:26:77:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:77:27:77:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:77:28:77:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:92:5:92:5: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:92:21:92:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:92:22:92:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:92:23:92:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:92:24:92:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:92:25:92:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:92:26:92:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:92:27:92:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:92:28:92:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:92:29:92:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:92:33:92:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:116:7:116:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:116:25:116:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:116:28:116:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:116:29:116:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:116:32:116:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:116:48:116:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:129:45:129:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:129:57:129:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:138:23:138:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:138:33:138:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:138:36:138:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:138:51:138:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:152:4:152:29: w202 deprecated control sequences
texmf-dist/tex/latex/econlipsum/econlipsum.sty:155:8:155:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:157:58:157:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:161:28:161:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:162:20:162:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:177:32:177:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:179:20:179:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:199:78:199:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:201:20:201:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:210:32:210:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:212:20:212:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:223:61:223:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:225:20:225:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:239:49:239:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:241:1:241:82: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:241:20:241:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:254:35:254:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:256:20:256:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:266:70:266:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:268:20:268:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:284:73:284:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:286:20:286:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:308:64:308:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:310:20:310:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:334:44:334:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:336:20:336:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:347:47:347:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:349:1:349:81: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:349:20:349:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:362:72:362:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:364:1:364:81: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:364:20:364:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:385:32:385:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:387:20:387:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:407:49:407:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:409:20:409:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:429:66:429:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:431:1:431:82: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:431:20:431:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:454:63:454:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:456:20:456:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:475:11:475:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:477:20:477:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:487:9:487:9: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:489:20:489:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:503:62:503:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:505:20:505:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:529:49:529:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:531:20:531:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:548:55:548:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:550:20:550:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:563:74:563:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:565:20:565:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:578:60:578:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:580:20:580:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:596:55:596:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:598:1:598:82: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:598:20:598:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:614:23:614:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:616:1:616:82: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:616:20:616:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:627:37:627:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:629:20:629:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:639:34:639:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:641:1:641:81: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:641:20:641:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:656:44:656:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:658:20:658:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:683:11:683:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:685:20:685:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:700:62:700:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:702:20:702:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:711:79:711:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:713:1:713:83: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:713:20:713:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:734:22:734:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:736:20:736:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:744:28:744:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:746:20:746:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:754:39:754:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:756:1:756:82: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:756:20:756:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:772:65:772:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:774:1:774:82: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:774:20:774:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:794:61:794:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:796:1:796:82: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:796:20:796:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:816:49:816:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:818:20:818:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:837:38:837:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:839:20:839:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:853:29:853:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:855:1:855:82: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:855:20:855:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:875:77:875:77: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:877:20:877:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:899:80:899:80: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:901:1:901:83: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:901:20:901:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:922:74:922:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:924:20:924:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:946:64:946:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:948:20:948:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:960:66:960:66: s204 missing stylistic whitespaces
