texmf-dist/tex/latex/emotion/emotion.sty:6:1:6:13: w101 unexpected delimiters
texmf-dist/tex/latex/emotion/emotion.sty:12:27:12:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/emotion/emotion.sty:12:30:12:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/emotion/emotion.sty:19:25:19:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/emotion/emotion.sty:19:28:19:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/emotion/emotion.sty:20:17:20:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/emotion/emotion.sty:20:18:20:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/emotion/emotion.sty:20:33:20:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/emotion/emotion.sty:26:12:26:31: w416 setting an undeclared variable
texmf-dist/tex/latex/emotion/emotion.sty:26:34:26:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/emotion/emotion.sty:26:37:26:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/emotion/emotion.sty:28:22:28:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/emotion/emotion.sty:28:25:28:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/emotion/emotion.sty:30:6:30:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/emotion/emotion.sty:30:19:30:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/emotion/emotion.sty:30:20:30:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/emotion/emotion.sty:30:31:30:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/emotion/emotion.sty:30:46:30:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/emotion/emotion.sty:30:47:30:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/emotion/emotion.sty:32:6:32:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/emotion/emotion.sty:32:19:32:19: s204 missing stylistic whitespaces
