texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:34:55:34:71: w202 deprecated control sequences
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:125:61:125:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:125:62:125:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:187:1:187:41: w401 unused private function
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:193:67:193:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:334:62:334:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:334:63:334:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:335:53:335:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:335:54:335:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:339:5:339:18: w302 unbraced n-type function call argument
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:344:58:344:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:344:59:344:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:388:61:388:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:388:62:388:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:391:69:391:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:391:70:391:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:395:33:395:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:395:55:395:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:421:48:421:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:421:49:421:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:421:52:421:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:421:53:421:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:422:48:422:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:422:49:422:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:422:52:422:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:422:53:422:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:435:48:435:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:435:49:435:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:435:52:435:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:435:54:435:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:436:48:436:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:436:49:436:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:436:52:436:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:436:54:436:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:458:48:458:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:458:50:458:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:458:53:458:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:458:54:458:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:459:48:459:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:459:50:459:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:459:53:459:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:459:54:459:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:502:60:502:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:502:61:502:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:502:64:502:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:502:65:502:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:502:68:502:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:502:71:502:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:502:74:502:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:502:77:502:77: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:585:61:585:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:585:62:585:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:589:47:589:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:589:48:589:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:589:51:589:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:589:52:589:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:589:55:589:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:589:58:589:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:589:61:589:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh-choices.sty:589:64:589:64: s204 missing stylistic whitespaces
