texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:35:1:35:13: w101 unexpected delimiters
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:36:35:36:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:36:36:36:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:39:40:39:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:39:44:39:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:40:41:40:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:41:15:41:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:43:7:43:21: w302 unbraced n-type function call argument
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:43:22:43:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:43:23:43:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:43:30:43:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:43:31:43:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:44:22:44:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:44:23:44:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:44:31:44:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:44:32:44:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:45:22:45:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:45:26:45:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:45:43:45:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:45:44:45:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:45:61:45:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:45:62:45:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/extramarks-v4.sty:47:28:47:28: s204 missing stylistic whitespaces
