texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:307:3:307:15: w101 unexpected delimiters
texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:309:22:309:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:309:32:309:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:309:33:309:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:319:26:319:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:334:30:334:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:334:41:334:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:335:30:335:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:335:40:335:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:336:30:336:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:336:38:336:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:337:30:337:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:337:40:337:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:340:30:340:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:340:41:340:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:341:30:341:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:341:40:341:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:342:30:342:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:342:38:342:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:343:30:343:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:343:40:343:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fancyhdr/fancyhdr.sty:345:4:345:4: s204 missing stylistic whitespaces
