texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:995:13:995:33: e418 setting a constant
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:113:34:113:44: w200 "do not use" argument specifiers
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:154:46:154:62: w202 deprecated control sequences
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:183:21:183:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:183:36:183:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:258:42:258:58: w202 deprecated control sequences
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:547:24:547:30: w302 unbraced n-type function call argument
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:636:44:636:60: w202 deprecated control sequences
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:683:5:683:16: w202 deprecated control sequences
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:854:14:854:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:854:18:854:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:854:19:854:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:854:23:854:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:854:27:854:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:854:28:854:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:854:40:854:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:854:44:854:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:854:45:854:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:854:49:854:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:854:53:854:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:854:54:854:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:861:51:861:67: w202 deprecated control sequences
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:891:52:891:68: w202 deprecated control sequences
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:906:1:906:51: w402 unused private function variant
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:916:1:916:55: w402 unused private function variant
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:931:26:931:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:931:33:931:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:935:10:935:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:935:17:935:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1008:28:1008:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1008:35:1008:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1010:12:1010:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1010:19:1010:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1271:16:1271:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1271:25:1271:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1273:14:1273:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1273:23:1273:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1297:14:1297:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1299:44:1299:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1304:14:1304:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1311:14:1311:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1355:24:1355:39: w200 "do not use" argument specifiers
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1360:10:1360:25: w200 "do not use" argument specifiers
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1538:44:1538:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1538:45:1538:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1541:34:1541:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1541:35:1541:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1542:34:1542:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1542:35:1542:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1543:34:1543:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis-en.cls:1543:35:1543:35: s204 missing stylistic whitespaces
