texmf-dist/tex/latex/fduthesis/fduthesis.cls:1071:13:1071:33: e418 setting a constant
texmf-dist/tex/latex/fduthesis/fduthesis.cls:113:34:113:44: w200 "do not use" argument specifiers
texmf-dist/tex/latex/fduthesis/fduthesis.cls:154:46:154:62: w202 deprecated control sequences
texmf-dist/tex/latex/fduthesis/fduthesis.cls:183:21:183:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:183:36:183:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:259:42:259:58: w202 deprecated control sequences
texmf-dist/tex/latex/fduthesis/fduthesis.cls:266:46:266:62: w202 deprecated control sequences
texmf-dist/tex/latex/fduthesis/fduthesis.cls:287:14:287:37: s413 malformed variable or constant name
texmf-dist/tex/latex/fduthesis/fduthesis.cls:626:24:626:30: w302 unbraced n-type function call argument
texmf-dist/tex/latex/fduthesis/fduthesis.cls:712:44:712:60: w202 deprecated control sequences
texmf-dist/tex/latex/fduthesis/fduthesis.cls:759:5:759:16: w202 deprecated control sequences
texmf-dist/tex/latex/fduthesis/fduthesis.cls:930:14:930:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:930:18:930:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:930:19:930:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:930:23:930:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:930:27:930:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:930:28:930:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:930:40:930:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:930:44:930:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:930:45:930:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:930:49:930:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:930:53:930:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:930:54:930:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:937:51:937:67: w202 deprecated control sequences
texmf-dist/tex/latex/fduthesis/fduthesis.cls:967:52:967:68: w202 deprecated control sequences
texmf-dist/tex/latex/fduthesis/fduthesis.cls:982:1:982:51: w402 unused private function variant
texmf-dist/tex/latex/fduthesis/fduthesis.cls:992:1:992:55: w402 unused private function variant
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1007:26:1007:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1007:33:1007:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1011:10:1011:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1011:17:1011:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1084:28:1084:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1084:35:1084:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1086:12:1086:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1086:19:1086:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1345:16:1345:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1345:25:1345:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1347:14:1347:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1347:23:1347:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1374:14:1374:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1376:44:1376:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1381:14:1381:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1388:14:1388:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1442:24:1442:39: w200 "do not use" argument specifiers
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1447:10:1447:25: w200 "do not use" argument specifiers
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1622:44:1622:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1622:45:1622:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1625:34:1625:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1625:35:1625:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1626:34:1626:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1626:35:1626:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1627:34:1627:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fduthesis/fduthesis.cls:1627:35:1627:35: s204 missing stylistic whitespaces
