texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:44:25:44:58: e418 setting a constant
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:29:25:29:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:30:19:30:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:30:29:30:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:31:37:31:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:33:13:33:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:33:43:33:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:35:16:35:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:35:18:35:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:35:19:35:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:35:20:35:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:35:34:35:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:35:38:35:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:35:39:35:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:35:40:35:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:36:17:36:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:36:52:36:64: w200 "do not use" argument specifiers
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:36:65:36:75: w200 "do not use" argument specifiers
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:36:77:36:77: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:40:1:40:101: s103 line too long
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:40:15:40:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:40:101:40:101: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:42:16:42:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:42:38:42:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:42:38:42:48: w200 "do not use" argument specifiers
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:43:2:43:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:44:1:44:146: s103 line too long
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:44:25:44:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:44:59:44:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:45:18:45:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:45:43:45:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:45:44:45:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:46:27:46:42: w202 deprecated control sequences
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:47:13:47:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:47:43:47:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:49:16:49:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:49:18:49:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:49:19:49:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:49:20:49:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:49:34:49:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:49:38:49:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:49:39:49:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:49:40:49:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:50:28:50:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:50:29:50:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:50:31:50:31: s204 missing stylistic whitespaces
