texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:20:1:20:49: w401 unused private function
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:20:21:20:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:20:50:20:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:21:18:21:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:21:22:21:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:22:26:22:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:22:51:22:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:24:15:24:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:24:16:24:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:24:41:24:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:24:42:24:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:24:43:24:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:24:47:24:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:24:51:24:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:26:14:26:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:26:15:26:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:26:39:26:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:27:21:27:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:27:48:27:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:30:8:30:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:30:9:30:9: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:31:8:31:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:33:8:33:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:33:9:33:9: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:35:19:35:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:35:24:35:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:38:26:38:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:38:27:38:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:38:39:38:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:38:40:38:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:38:41:38:41: s204 missing stylistic whitespaces
