texmf-dist/tex/latex/fontaxes/fontaxes.sty:32:1:32:81: s103 line too long
texmf-dist/tex/latex/fontaxes/fontaxes.sty:46:31:46:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontaxes/fontaxes.sty:46:38:46:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontaxes/fontaxes.sty:72:24:72:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontaxes/fontaxes.sty:72:39:72:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontaxes/fontaxes.sty:72:40:72:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontaxes/fontaxes.sty:72:42:72:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontaxes/fontaxes.sty:73:21:73:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontaxes/fontaxes.sty:73:29:73:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontaxes/fontaxes.sty:73:30:73:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontaxes/fontaxes.sty:73:31:73:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontaxes/fontaxes.sty:73:68:73:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontaxes/fontaxes.sty:73:69:73:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontaxes/fontaxes.sty:74:10:74:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontaxes/fontaxes.sty:74:71:74:71: s204 missing stylistic whitespaces
