texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:169:1:169:83: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:171:1:171:85: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:173:1:173:85: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:175:1:175:87: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:190:1:190:90: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:280:1:280:81: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:282:1:282:81: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:312:1:312:84: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:334:1:334:81: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:336:1:336:81: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:338:1:338:81: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:349:1:349:94: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:350:1:350:94: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:435:1:435:81: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:437:1:437:81: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:577:1:577:103: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:587:1:587:93: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:594:1:594:93: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:604:1:604:82: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:613:1:613:94: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-nodes.code.tex:622:1:622:82: s103 line too long
