texmf-dist/tex/latex/hawkdraw/hawkdraw-plots.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/hawkdraw/hawkdraw-plots.code.tex:55:1:55:92: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-plots.code.tex:64:1:64:101: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-plots.code.tex:77:1:77:82: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-plots.code.tex:113:1:113:82: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-plots.code.tex:117:1:117:86: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-plots.code.tex:118:1:118:91: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-plots.code.tex:131:1:131:82: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-plots.code.tex:135:1:135:86: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-plots.code.tex:136:1:136:91: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-plots.code.tex:152:1:152:99: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-plots.code.tex:154:1:154:84: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-plots.code.tex:156:1:156:82: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-plots.code.tex:157:1:157:86: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-plots.code.tex:162:1:162:88: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-plots.code.tex:163:1:163:86: s103 line too long
