texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:83:1:83:83: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:109:1:109:103: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:111:1:111:112: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:120:1:120:91: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:121:1:121:91: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:122:1:122:91: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:123:1:123:91: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:125:1:125:98: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:148:1:148:89: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:159:1:159:81: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:162:1:162:82: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:179:1:179:103: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:189:1:189:91: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:190:1:190:91: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:191:1:191:91: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:192:1:192:91: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:194:1:194:92: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:418:1:418:87: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:506:1:506:84: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:627:1:627:87: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:633:1:633:87: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:638:1:638:86: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:642:1:642:86: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:647:1:647:87: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:653:1:653:87: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:658:1:658:83: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:718:1:718:95: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:722:1:722:82: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:725:1:725:82: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:730:1:730:94: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:734:1:734:82: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:737:1:737:82: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:742:1:742:95: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:746:1:746:82: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-shadings.code.tex:749:1:749:82: s103 line too long
