texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:337:1:337:93: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:359:1:359:97: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:536:1:536:107: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:539:1:539:87: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:553:1:553:107: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:564:1:564:87: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:584:1:584:85: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:625:1:625:87: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:626:1:626:107: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:644:1:644:85: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:661:1:661:91: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:738:1:738:91: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:784:1:784:85: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:801:1:801:91: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:855:1:855:81: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:860:1:860:81: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:872:1:872:81: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:877:1:877:81: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:957:1:957:91: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:1020:1:1020:107: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:1034:1:1034:85: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:1051:1:1051:91: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:1073:1:1073:82: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:1100:1:1100:91: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:1120:1:1120:82: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:1136:1:1136:88: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:1137:1:1137:107: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:1151:1:1151:85: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:1168:1:1168:91: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:1190:1:1190:87: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:1192:1:1192:85: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:1207:1:1207:85: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-softpath.code.tex:1217:1:1217:91: s103 line too long
