texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:18:17:18:32: w200 "do not use" argument specifiers
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:35:9:35:27: w200 "do not use" argument specifiers
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:38:9:38:25: w200 "do not use" argument specifiers
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:41:9:41:22: w200 "do not use" argument specifiers
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:48:9:48:27: w200 "do not use" argument specifiers
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:51:9:51:25: w200 "do not use" argument specifiers
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:54:9:54:22: w200 "do not use" argument specifiers
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:62:9:62:22: w200 "do not use" argument specifiers
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:88:9:88:24: w200 "do not use" argument specifiers
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:88:26:88:40: w200 "do not use" argument specifiers
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:127:9:127:22: w200 "do not use" argument specifiers
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:144:9:144:22: w200 "do not use" argument specifiers
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:146:13:146:26: w200 "do not use" argument specifiers
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:148:13:148:26: w200 "do not use" argument specifiers
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:160:9:160:27: w200 "do not use" argument specifiers
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:172:9:172:26: w200 "do not use" argument specifiers
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:176:13:176:26: w200 "do not use" argument specifiers
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:211:9:211:27: w200 "do not use" argument specifiers
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:214:9:214:28: w200 "do not use" argument specifiers
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:226:13:226:30: w200 "do not use" argument specifiers
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:229:13:229:36: w200 "do not use" argument specifiers
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:253:1:253:89: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:422:1:426:1: w429 defined an unexpandable function as unprotected
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:480:1:486:1: w429 defined an unexpandable function as unprotected
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:529:1:536:1: w429 defined an unexpandable function as unprotected
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:684:1:684:82: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:807:1:807:82: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:810:1:810:94: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:811:1:811:90: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:822:1:822:87: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:962:1:962:82: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:1015:1:1015:88: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:1045:1:1045:89: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:1064:1:1064:88: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:1070:1:1070:81: s103 line too long
texmf-dist/tex/latex/hawkdraw/hawkdraw-utils.code.tex:1077:1:1077:85: s103 line too long
