texmf-dist/tex/latex/hep-title/hep-title.sty:391:15:391:25: s412 malformed function name
texmf-dist/tex/latex/hep-title/hep-title.sty:403:31:403:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:403:32:403:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:403:33:403:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:403:35:403:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:403:36:403:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:403:37:403:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:404:24:404:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:405:14:405:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:405:18:405:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:407:26:407:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:408:45:408:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:408:50:408:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:411:12:411:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:411:32:411:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:411:33:411:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:411:54:411:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:411:55:411:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:412:21:412:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:412:29:412:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:412:30:412:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:412:31:412:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:413:17:413:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:413:27:413:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:413:42:413:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:414:4:414:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hep-title/hep-title.sty:414:6:414:6: s204 missing stylistic whitespaces
