texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:50:1:50:50: w401 unused private function
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:86:33:86:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:86:34:86:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:86:40:86:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:89:25:89:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:90:25:90:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:93:1:93:83: s103 line too long
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:94:21:94:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:94:28:94:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:95:28:95:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:95:30:95:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:95:31:95:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:96:18:96:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:96:21:96:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:96:22:96:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:97:20:97:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:97:25:97:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:97:26:97:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:98:21:98:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:98:27:98:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:98:28:98:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:99:21:99:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:99:27:99:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:99:28:99:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:100:23:100:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:100:31:100:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/hustthesis/hustthesis-doc.sty:100:32:100:32: s204 missing stylistic whitespaces
