texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:59:45:59:61: w202 deprecated control sequences
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:82:17:82:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:82:25:82:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:84:39:84:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:84:61:84:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:86:49:86:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:86:53:86:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:89:53:89:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:89:58:89:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:91:36:91:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:91:70:91:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:91:71:91:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:95:21:95:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:95:24:95:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:99:40:99:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:99:78:99:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:99:79:99:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:103:21:103:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:103:24:103:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:107:1:107:81: s103 line too long
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:107:41:107:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:107:80:107:80: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:107:81:107:81: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:111:21:111:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:111:24:111:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:115:44:115:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:116:48:116:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:117:49:117:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:118:14:118:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:118:39:118:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:118:40:118:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:123:21:123:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/inconsolata-nerd-font/inconsolata-nerd-font.sty:123:24:123:24: s204 missing stylistic whitespaces
