texmf-dist/tex/latex/keyparse/keyparse.sty:21:1:21:13: w101 unexpected delimiters
texmf-dist/tex/latex/keyparse/keyparse.sty:23:2:23:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:23:12:23:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:24:2:24:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:24:9:24:9: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:25:2:25:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:25:34:25:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:28:2:28:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:28:20:28:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:28:21:28:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:28:45:28:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:30:4:30:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:30:33:30:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:31:4:31:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:31:35:31:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:32:11:32:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:32:12:32:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:32:45:32:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:32:46:32:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:32:49:32:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:32:68:32:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:34:28:34:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:34:29:34:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:34:58:34:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:34:62:34:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:37:2:37:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:38:4:38:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:38:33:38:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:39:11:39:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:39:12:39:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:39:41:39:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:39:42:39:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:41:22:41:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:42:4:42:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:42:18:42:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:42:19:42:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:42:29:42:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:43:6:43:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:43:13:43:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:44:9:44:9: s204 missing stylistic whitespaces
texmf-dist/tex/latex/keyparse/keyparse.sty:44:10:44:10: s204 missing stylistic whitespaces
