texmf-dist/tex/latex/knowledge/knowledge.sty:41:4:41:49: t422 using a variable of an incompatible type
texmf-dist/tex/latex/knowledge/knowledge.sty:41:17:41:34: e418 setting a constant
texmf-dist/tex/latex/knowledge/knowledge.sty:2179:1:2179:47: t422 using a variable of an incompatible type
texmf-dist/tex/latex/knowledge/knowledge.sty:28:17:28:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/knowledge/knowledge.sty:28:25:28:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/knowledge/knowledge.sty:29:17:29:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/knowledge/knowledge.sty:29:25:29:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/knowledge/knowledge.sty:30:17:30:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/knowledge/knowledge.sty:30:23:30:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/knowledge/knowledge.sty:31:19:31:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/knowledge/knowledge.sty:33:3:33:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/knowledge/knowledge.sty:33:14:33:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/knowledge/knowledge.sty:33:14:33:43: s413 malformed variable or constant name
texmf-dist/tex/latex/knowledge/knowledge.sty:34:19:34:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/knowledge/knowledge.sty:34:49:34:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/knowledge/knowledge.sty:36:13:36:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/knowledge/knowledge.sty:36:19:36:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/knowledge/knowledge.sty:37:13:37:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/knowledge/knowledge.sty:37:21:37:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/knowledge/knowledge.sty:41:4:41:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/knowledge/knowledge.sty:41:17:41:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/knowledge/knowledge.sty:41:35:41:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/knowledge/knowledge.sty:41:36:41:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/knowledge/knowledge.sty:41:49:41:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/knowledge/knowledge.sty:41:50:41:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/knowledge/knowledge.sty:42:11:42:20: s204 missing stylistic whitespaces
