texmf-dist/tex/latex/koma-script/scrlayer.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/koma-script/scrlayer.sty:48:17:48:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:48:24:48:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:48:25:48:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:49:18:49:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:49:26:49:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:49:27:49:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:55:13:55:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:55:50:55:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:56:13:56:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:56:46:56:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:56:49:56:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:56:50:56:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:58:58:58:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:60:55:60:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:60:59:60:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:63:13:63:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:63:45:63:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:63:71:63:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:63:72:63:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:64:21:64:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:64:63:64:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:65:37:65:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:65:41:65:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:65:54:65:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:65:55:65:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:67:4:67:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:69:13:69:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:69:39:69:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:69:42:69:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:69:43:69:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:70:26:70:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:70:27:70:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:70:31:70:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:70:32:70:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:75:19:75:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:76:21:76:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:76:25:76:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:76:26:76:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:76:27:76:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:76:31:76:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:76:32:76:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:76:36:76:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:77:4:77:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:81:17:81:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:81:25:81:25: s204 missing stylistic whitespaces
