texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1772:56:1772:56: e209 invalid characters
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:141:29:141:54: s205 malformed function name
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:177:27:177:52: s205 malformed function name
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:246:11:246:36: s205 malformed function name
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:317:1:317:81: s103 line too long
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:320:7:320:32: s205 malformed function name
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:869:1:869:81: s103 line too long
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1088:1:1088:84: s103 line too long
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1194:1:1194:82: s103 line too long
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1276:47:1276:62: s205 malformed function name
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1283:41:1283:56: s205 malformed function name
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1296:33:1296:48: s205 malformed function name
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1302:33:1302:48: s205 malformed function name
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1308:33:1308:48: s205 malformed function name
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1314:33:1314:48: s205 malformed function name
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1320:33:1320:48: s205 malformed function name
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1326:33:1326:48: s205 malformed function name
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1332:33:1332:48: s205 malformed function name
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1338:33:1338:48: s205 malformed function name
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1369:41:1369:56: s205 malformed function name
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1403:7:1403:23: w200 "do not use" argument specifiers
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1500:5:1500:22: w200 "do not use" argument specifiers
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1502:37:1502:54: w200 "do not use" argument specifiers
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1503:41:1503:58: w200 "do not use" argument specifiers
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1509:52:1509:69: w200 "do not use" argument specifiers
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1545:1:1545:85: s103 line too long
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1556:1:1556:86: s103 line too long
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1597:1:1597:85: s103 line too long
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1659:1:1659:85: s103 line too long
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1660:1:1660:82: s103 line too long
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1673:1:1673:89: s103 line too long
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1684:1:1684:86: s103 line too long
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1701:1:1701:89: s103 line too long
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1734:1:1734:82: s103 line too long
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1769:5:1769:20: w200 "do not use" argument specifiers
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1891:23:1891:39: s206 malformed variable or constant name
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1891:23:1891:39: w200 "do not use" argument specifiers
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1897:15:1897:30: w200 "do not use" argument specifiers
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1917:19:1917:35: s206 malformed variable or constant name
texmf-dist/tex/latex/l3packages/xparse/xparse-2018-04-12.sty:1917:19:1917:35: w200 "do not use" argument specifiers
