texmf-dist/tex/latex/lambdax/lambdax.sty:22:1:22:13: w101 unexpected delimiters
texmf-dist/tex/latex/lambdax/lambdax.sty:23:24:23:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:23:35:23:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:23:36:23:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:23:37:23:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:24:24:24:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:24:35:24:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:24:36:24:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:24:37:24:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:25:24:25:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:25:35:25:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:25:36:25:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:25:40:25:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:28:2:28:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:29:4:29:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:29:15:29:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:29:16:29:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:30:13:30:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:30:14:30:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:30:23:30:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:31:2:31:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:31:12:31:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:32:2:32:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:35:5:35:5: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:35:23:35:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:36:4:36:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:36:24:36:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:37:4:37:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:37:26:37:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:38:4:38:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:38:26:38:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:39:4:39:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:39:32:39:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:40:4:40:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:40:34:40:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:41:4:41:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:41:36:41:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:42:4:42:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:42:36:42:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:44:21:44:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:44:22:44:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:44:24:44:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:45:2:45:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:46:17:46:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:49:32:49:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:50:4:50:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:50:21:50:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:51:4:51:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:51:22:51:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:51:23:51:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:52:24:52:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:52:46:52:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:52:47:52:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:52:48:52:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:55:2:55:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:56:4:56:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:56:16:56:16: s204 missing stylistic whitespaces
