texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:24:1:24:87: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:24:24:24:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:24:34:24:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:24:35:24:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:24:36:24:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:24:87:24:87: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:26:29:26:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:26:41:26:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:37:54:37:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:37:57:37:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:41:52:41:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:41:55:41:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:64:47:64:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:65:43:65:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:65:44:65:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:66:43:66:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:66:44:66:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:68:43:68:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:68:44:68:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:69:60:69:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:69:63:69:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:69:64:69:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:70:60:70:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:70:63:70:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:70:64:70:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:71:60:71:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:71:63:71:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:71:64:71:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:72:60:72:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:72:64:72:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:72:65:72:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:73:60:73:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:73:64:73:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:73:65:73:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:74:43:74:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:74:44:74:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:75:43:75:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:75:44:75:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:96:41:96:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:96:43:96:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:97:1:97:91: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:97:57:97:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:97:61:97:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:98:1:98:90: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:98:57:98:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:98:61:98:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:99:1:99:82: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:99:57:99:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:99:60:99:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:100:57:100:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:100:58:100:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:103:1:103:88: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:103:60:103:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:103:61:103:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:104:1:104:88: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:104:60:104:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:104:61:104:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:106:59:106:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:107:57:107:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:108:1:108:89: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:109:1:109:88: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:109:57:109:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:109:59:109:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:110:1:110:82: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:111:1:111:81: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:111:57:111:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:111:58:111:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:112:1:112:82: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:112:57:112:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:112:60:112:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:113:1:113:82: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:113:57:113:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:113:60:113:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:114:57:114:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:114:58:114:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:115:57:115:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:115:58:115:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:116:57:116:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:116:58:116:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:117:57:117:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:117:58:117:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:118:57:118:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:118:58:118:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:119:57:119:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:119:58:119:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:120:57:120:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:120:58:120:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:121:57:121:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:121:58:121:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chordnames.code.tex:122:57:122:57: s204 missing stylistic whitespaces
