texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:24:24:24:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:24:30:24:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:24:31:24:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:24:32:24:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:24:58:24:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:26:15:26:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:26:25:26:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:26:28:26:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:26:37:26:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:29:29:29:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:29:39:29:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:36:55:36:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:36:56:36:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:50:46:50:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:50:49:50:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:53:52:53:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:53:53:53:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:72:12:72:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:72:61:72:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:76:61:76:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:76:72:76:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:109:49:109:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:109:51:109:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:113:62:113:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:113:63:113:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:113:66:113:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:113:68:113:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:114:62:114:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:114:63:114:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:114:66:114:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:114:67:114:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:116:62:116:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:116:63:116:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:116:66:116:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:116:67:116:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:117:32:117:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:117:37:117:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:121:76:121:76: s204 missing stylistic whitespaces
