texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:24:24:24:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:24:32:24:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:25:4:25:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:25:59:25:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:27:15:27:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:27:25:27:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:27:28:27:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:27:48:27:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:34:15:34:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:34:25:34:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:34:28:34:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:34:42:34:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:41:42:41:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:41:45:41:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:48:13:48:27: w200 "do not use" argument specifiers
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:61:59:61:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:61:60:61:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:63:35:63:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:63:44:63:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:65:66:65:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:65:74:65:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:74:18:74:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:74:28:74:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:110:26:110:26: s204 missing stylistic whitespaces
