texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:24:24:24:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:24:32:24:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:25:4:25:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:25:61:25:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:27:29:27:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:27:39:27:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:29:16:29:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:29:26:29:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:29:29:29:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:29:41:29:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:41:20:41:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:41:30:41:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:41:33:41:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:41:45:41:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:41:47:41:61: w200 "do not use" argument specifiers
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:43:18:43:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:43:26:43:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:45:27:45:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:45:41:45:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:48:22:48:32: w200 "do not use" argument specifiers
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:56:43:56:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:56:47:56:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:57:43:57:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:57:47:57:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:58:43:58:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:58:47:58:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:63:43:63:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:63:47:63:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:64:43:64:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.musejazz.code.tex:64:47:64:47: s204 missing stylistic whitespaces
