texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:24:24:24:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:24:34:24:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:24:35:24:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:24:36:24:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:24:62:24:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:26:41:26:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:26:42:26:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:33:18:33:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:33:45:33:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:42:21:42:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:42:48:42:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:48:20:48:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:48:47:48:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:51:60:51:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:51:68:51:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:53:23:53:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:53:50:53:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:61:74:61:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:61:80:61:80: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:66:26:66:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:66:53:66:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:73:59:73:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:73:60:73:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:75:1:75:82: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:75:76:75:76: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:75:82:75:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:80:27:80:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:80:54:80:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:88:61:88:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:88:62:88:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:90:1:90:84: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:90:78:90:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:90:84:90:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:100:1:100:82: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:100:76:100:76: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:100:82:100:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:114:10:114:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:166:50:166:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:166:51:166:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:174:45:174:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:174:46:174:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:174:47:174:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:174:53:174:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:174:54:174:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:174:58:174:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:183:43:183:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:183:44:183:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:183:45:183:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:183:51:183:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:183:52:183:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:183:54:183:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:191:57:191:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:191:59:191:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:198:52:198:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:198:53:198:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:201:41:201:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:201:42:201:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:204:43:204:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:204:44:204:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:210:45:210:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:210:47:210:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:211:1:211:83: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:215:43:215:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:215:45:215:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:216:1:216:81: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:220:42:220:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:220:43:220:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:224:40:224:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.properties.code.tex:224:42:224:42: s204 missing stylistic whitespaces
