texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:24:24:24:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:24:29:24:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:24:30:24:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:24:31:24:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:24:59:24:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:28:15:28:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:28:25:28:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:28:28:28:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:28:46:28:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:34:15:34:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:34:25:34:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:34:28:34:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:34:40:34:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:40:15:40:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:40:25:40:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:40:28:40:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:40:41:40:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:43:41:43:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:43:46:43:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:47:15:47:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:47:25:47:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:47:28:47:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:47:40:47:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:55:14:55:35: w415 unused variable or constant
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:55:38:55:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:55:43:55:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:56:14:56:34: w415 unused variable or constant
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:56:38:56:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:56:42:56:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:62:43:62:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:62:48:62:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:66:52:66:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:66:53:66:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:118:10:118:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:118:11:118:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:119:10:119:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:119:11:119:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:119:14:119:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:119:41:119:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:133:8:133:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:133:34:133:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:134:8:134:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:134:25:134:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:150:26:150:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:150:30:150:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:150:35:150:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:154:14:154:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:163:1:163:14: w101 unexpected delimiters
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:169:14:169:34: w415 unused variable or constant
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:169:37:169:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:169:41:169:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:170:48:170:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:171:47:171:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:174:4:174:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:175:19:175:19: s204 missing stylistic whitespaces
