texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:24:24:24:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:24:33:24:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:25:4:25:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:25:60:25:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:27:15:27:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:27:25:27:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:27:28:27:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:27:44:27:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:42:7:42:20: w200 "do not use" argument specifiers
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:45:7:45:20: w200 "do not use" argument specifiers
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:63:26:63:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:63:36:63:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:63:39:63:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:63:55:63:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:63:58:63:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:63:67:63:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:71:47:71:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:71:50:71:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:74:34:74:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:74:36:74:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:93:22:93:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:93:58:93:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:94:8:94:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:94:36:94:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:98:26:98:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:98:36:98:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:98:39:98:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:98:55:98:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:99:12:99:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:99:22:99:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:100:12:100:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:100:18:100:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:100:19:100:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:100:47:100:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:100:48:100:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:107:47:107:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.templates.code.tex:107:52:107:52: s204 missing stylistic whitespaces
