texmf-dist/tex/latex/leadsheets/leadsheets.library.translations.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/leadsheets/leadsheets.library.translations.code.tex:24:24:24:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.translations.code.tex:24:36:24:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.translations.code.tex:24:37:24:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.translations.code.tex:24:38:24:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.translations.code.tex:24:74:24:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.translations.code.tex:27:22:27:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.translations.code.tex:31:31:31:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.translations.code.tex:34:48:34:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.translations.code.tex:34:51:34:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.translations.code.tex:37:57:37:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.translations.code.tex:37:58:37:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.translations.code.tex:40:38:40:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.translations.code.tex:40:44:40:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.translations.code.tex:40:49:40:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.translations.code.tex:40:55:40:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.translations.code.tex:40:58:40:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.translations.code.tex:40:65:40:65: s204 missing stylistic whitespaces
