texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:24:24:24:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:24:35:24:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:24:36:24:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:24:37:24:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:24:76:24:76: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:33:18:33:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:33:45:33:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:34:18:34:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:34:46:34:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:35:30:35:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:35:57:35:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:39:44:39:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:39:45:39:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:39:52:39:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:39:53:39:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:40:44:40:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:40:47:40:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:40:52:40:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:40:53:40:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:41:44:41:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:41:47:41:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:41:52:41:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:41:53:41:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:42:44:42:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:42:52:42:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:42:53:42:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:43:44:43:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:43:48:43:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:43:52:43:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:43:53:43:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:44:44:44:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:44:48:44:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:44:52:44:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:44:53:44:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:45:44:45:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:45:46:45:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:45:52:45:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:45:53:45:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:46:44:46:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:46:48:46:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:46:52:46:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:46:53:46:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:47:44:47:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:47:48:47:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:47:52:47:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:47:53:47:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:48:44:48:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:48:45:48:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:48:52:48:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:48:53:48:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:49:44:49:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:49:47:49:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:49:52:49:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:49:53:49:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:50:44:50:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:50:47:50:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:50:52:50:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:50:53:50:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:51:44:51:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:51:52:51:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:51:53:51:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:52:44:52:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:52:48:52:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:52:52:52:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:52:53:52:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:53:44:53:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:53:48:53:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:53:52:53:52: s204 missing stylistic whitespaces
