texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:8:1:8:81: s103 line too long
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:8:3:8:19: w202 deprecated control sequences
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:8:20:8:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:8:24:8:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:8:28:8:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:8:51:8:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:8:52:8:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:8:53:8:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:8:54:8:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:8:55:8:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:8:78:8:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:8:79:8:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:8:80:8:80: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:8:81:8:81: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:18:12:18:33: s413 malformed variable or constant name
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:20:25:20:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:20:29:20:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:20:33:20:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:22:34:22:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:22:48:22:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:22:49:22:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:45:12:45:38: s413 malformed variable or constant name
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:47:26:47:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:47:30:47:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:47:34:47:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:49:34:49:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:49:48:49:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:49:49:49:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:61:12:61:31: s413 malformed variable or constant name
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:63:19:63:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:63:23:63:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:63:27:63:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:65:34:65:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:65:48:65:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lisp-on-tex/lisp-mod-l3regex.sty:65:49:65:49: s204 missing stylistic whitespaces
