texmf-dist/tex/latex/litetable/litetable.cls:39:9:39:23: w200 "do not use" argument specifiers
texmf-dist/tex/latex/litetable/litetable.cls:79:34:79:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:79:40:79:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:86:27:86:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:93:34:93:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:93:40:93:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:127:37:127:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:127:53:127:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:132:32:132:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:132:33:132:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:132:34:132:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:141:39:141:52: w202 deprecated control sequences
texmf-dist/tex/latex/litetable/litetable.cls:143:42:143:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:143:48:143:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:152:28:152:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:154:25:154:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:154:43:154:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:155:57:155:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:158:26:158:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:158:48:158:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:158:66:158:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:158:67:158:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:161:63:161:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:166:43:166:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:168:22:168:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:168:78:168:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:168:79:168:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:168:80:168:80: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:170:34:170:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:170:52:170:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:173:56:173:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:174:53:174:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:178:18:178:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:181:18:181:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:182:51:182:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:194:22:194:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:197:22:197:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:199:54:199:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:208:22:208:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:208:23:208:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:210:73:210:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:211:43:211:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:212:42:212:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:213:22:213:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:214:78:214:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:219:18:219:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:219:19:219:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:223:66:223:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:224:27:224:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:224:43:224:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:225:38:225:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:226:18:226:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/litetable/litetable.cls:227:66:227:66: s204 missing stylistic whitespaces
