texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:19:26:19:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:19:35:19:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:19:36:19:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:20:17:20:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:20:25:20:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:22:15:22:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:22:37:22:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:22:38:22:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:23:27:23:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:23:32:23:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:24:6:24:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:34:15:34:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:34:33:34:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:35:15:35:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:35:16:35:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:35:32:35:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:35:33:35:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:35:34:35:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:35:51:35:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:36:15:36:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:36:27:36:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:38:8:38:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:38:19:38:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:39:28:39:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:39:37:39:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:39:38:39:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:41:28:41:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:41:37:41:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:43:43:43:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:43:62:43:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:43:67:43:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:43:68:43:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:43:69:43:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:43:70:43:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:45:44:45:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:45:64:45:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:46:44:46:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:46:62:46:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:48:41:48:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:48:58:48:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:49:41:49:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:49:56:49:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:51:42:51:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:51:52:51:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:51:53:51:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:51:66:51:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:52:42:52:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:52:52:52:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:52:53:52:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:52:64:52:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:54:42:54:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:54:63:54:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:54:64:54:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:54:65:54:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:54:66:54:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:55:42:55:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:55:61:55:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:55:62:55:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:55:63:55:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:55:64:55:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:57:35:57:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:57:50:57:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:57:51:57:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:57:54:57:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:57:56:57:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:57:58:57:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:59:46:59:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:59:51:59:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:59:62:59:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:61:53:61:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:61:55:61:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:63:48:63:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:63:51:63:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:63:67:63:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:63:68:63:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:64:47:64:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:64:50:64:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:64:65:64:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:64:66:64:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:66:47:66:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:66:52:66:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:66:53:66:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:66:54:66:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:66:60:66:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:66:61:66:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:67:48:67:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:67:53:67:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:67:54:67:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:67:55:67:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:67:61:67:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:67:62:67:62: s204 missing stylistic whitespaces
