texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:112:22:112:39: s412 malformed function name
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:129:1:129:94: s103 line too long
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:139:39:139:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:139:40:139:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:140:39:140:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:140:40:140:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:141:39:141:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:141:40:141:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:142:39:142:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:142:40:142:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:143:39:143:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:143:40:143:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:144:39:144:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:144:40:144:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:156:1:156:91: s103 line too long
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:209:12:209:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:209:18:209:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:210:14:210:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:210:21:210:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:210:22:210:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:210:25:210:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:210:31:210:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:210:40:210:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:210:43:210:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:210:49:210:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:212:22:212:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:212:23:212:23: s204 missing stylistic whitespaces
