texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:174:53:174:53: e304 unexpected parameter number
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:5:30:5:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:5:31:5:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:5:35:5:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:6:17:6:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:6:21:6:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:7:17:7:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:7:23:7:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:8:17:8:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:8:22:8:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:9:17:9:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:9:23:9:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:10:14:10:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:10:22:10:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:10:23:10:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:10:24:10:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:10:28:10:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:10:29:10:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:10:30:10:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:10:36:10:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:11:14:11:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:11:23:11:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:11:24:11:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:11:25:11:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:11:29:11:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:11:30:11:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:11:31:11:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:11:37:11:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:12:14:12:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:12:25:12:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:12:26:12:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:12:27:12:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:12:31:12:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:12:32:12:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:12:33:12:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:12:39:12:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:13:14:13:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:13:22:13:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:13:23:13:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:13:24:13:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:13:28:13:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:13:29:13:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:13:30:13:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:13:36:13:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:14:14:14:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:14:23:14:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:14:24:14:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:14:25:14:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:14:29:14:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:14:30:14:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:14:31:14:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:14:37:14:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:15:14:15:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:15:22:15:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:15:23:15:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:15:24:15:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:15:28:15:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:15:29:15:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:15:30:15:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:15:36:15:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:16:14:16:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:16:20:16:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:16:21:16:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:16:22:16:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:16:26:16:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:16:27:16:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:16:28:16:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:16:34:16:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:17:14:17:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:17:22:17:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:17:23:17:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:17:24:17:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:17:28:17:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:17:29:17:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:17:30:17:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:17:36:17:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:18:14:18:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:18:23:18:23: s204 missing stylistic whitespaces
