texmf-dist/tex/latex/mathfont/mathfont.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/mathfont/mathfont.sty:62:17:62:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:62:24:62:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:63:18:63:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:63:26:63:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:63:27:63:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:70:31:70:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:71:40:71:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:71:48:71:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:74:4:74:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:76:20:76:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:76:21:76:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:77:7:77:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:77:11:77:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:83:17:83:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:84:57:84:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:87:25:87:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:88:45:88:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:89:7:89:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:89:11:89:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:98:21:98:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:99:57:99:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:102:28:102:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:103:45:103:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:104:7:104:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:104:11:104:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:104:43:104:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:105:55:105:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:108:27:108:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:109:51:109:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:109:70:109:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:110:43:110:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:111:35:111:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:122:40:122:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:134:51:134:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:135:2:135:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathfont/mathfont.sty:135:57:135:57: s204 missing stylistic whitespaces
