texmf-dist/tex/latex/mathtools/mathtools.sty:645:7:645:22: e201 unknown argument specifiers
texmf-dist/tex/latex/mathtools/mathtools.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/mathtools/mathtools.sty:34:18:34:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:34:27:34:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:34:28:34:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:36:17:36:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:36:28:36:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:37:17:37:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:37:24:37:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:37:25:37:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:40:5:40:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:40:19:40:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:40:22:40:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:41:47:41:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:41:48:41:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:42:19:42:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:43:57:43:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:43:58:43:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:45:4:45:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:46:4:46:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:47:55:47:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:48:6:48:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:51:34:51:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:52:26:52:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:53:69:53:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:54:15:54:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:59:62:59:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:60:6:60:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:61:19:61:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:61:69:61:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:61:70:61:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:61:71:61:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:62:5:62:5: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:64:5:64:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:64:26:64:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:64:29:64:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:65:47:65:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:65:48:65:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:66:19:66:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:67:57:67:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:67:58:67:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:69:4:69:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:70:4:70:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:75:34:75:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:76:26:76:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:77:69:77:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:78:15:78:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:83:62:83:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:86:5:86:5: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:88:5:88:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:88:22:88:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:88:23:88:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:88:32:88:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:89:29:89:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:89:39:89:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:89:56:89:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:89:57:89:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:89:61:89:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:90:20:90:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:90:30:90:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:91:16:91:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:91:26:91:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:91:27:91:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:92:24:92:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:92:34:92:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:94:16:94:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:94:35:94:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:94:36:94:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:95:24:95:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:95:34:95:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:97:16:97:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:97:27:97:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:97:28:97:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:102:16:102:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:102:30:102:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:102:31:102:31: s204 missing stylistic whitespaces
