texmf-dist/tex/latex/media9/pdfbase.sty:1564:1:1565:53: e104 multiple delimiters `\ProvidesExpl*` in a single file
texmf-dist/tex/latex/media9/pdfbase.sty:163:1:164:53: w101 unexpected delimiters
texmf-dist/tex/latex/media9/pdfbase.sty:655:1:655:81: s103 line too long
texmf-dist/tex/latex/media9/pdfbase.sty:1370:1:1370:103: s103 line too long
texmf-dist/tex/latex/media9/pdfbase.sty:1372:1:1372:129: s103 line too long
texmf-dist/tex/latex/media9/pdfbase.sty:1373:1:1373:95: s103 line too long
texmf-dist/tex/latex/media9/pdfbase.sty:1374:1:1374:129: s103 line too long
texmf-dist/tex/latex/media9/pdfbase.sty:1375:1:1375:85: s103 line too long
texmf-dist/tex/latex/media9/pdfbase.sty:1376:1:1376:105: s103 line too long
texmf-dist/tex/latex/media9/pdfbase.sty:1377:1:1377:129: s103 line too long
texmf-dist/tex/latex/media9/pdfbase.sty:1378:1:1378:108: s103 line too long
texmf-dist/tex/latex/media9/pdfbase.sty:1379:1:1379:94: s103 line too long
texmf-dist/tex/latex/media9/pdfbase.sty:1380:1:1380:129: s103 line too long
texmf-dist/tex/latex/media9/pdfbase.sty:1390:1:1390:95: s103 line too long
texmf-dist/tex/latex/media9/pdfbase.sty:1392:1:1392:135: s103 line too long
texmf-dist/tex/latex/media9/pdfbase.sty:1393:1:1393:86: s103 line too long
texmf-dist/tex/latex/media9/pdfbase.sty:1394:1:1394:98: s103 line too long
texmf-dist/tex/latex/media9/pdfbase.sty:1395:1:1395:135: s103 line too long
texmf-dist/tex/latex/media9/pdfbase.sty:1396:1:1396:89: s103 line too long
texmf-dist/tex/latex/media9/pdfbase.sty:1397:1:1397:135: s103 line too long
texmf-dist/tex/latex/media9/pdfbase.sty:1399:1:1399:135: s103 line too long
texmf-dist/tex/latex/media9/pdfbase.sty:1400:1:1400:96: s103 line too long
texmf-dist/tex/latex/media9/pdfbase.sty:1401:1:1401:135: s103 line too long
texmf-dist/tex/latex/media9/pdfbase.sty:1403:1:1403:135: s103 line too long
