texmf-dist/tex/latex/memoir/memhfixc.sty:86:23:86:56: s412 malformed function name
texmf-dist/tex/latex/memoir/memhfixc.sty:88:17:88:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/memoir/memhfixc.sty:88:27:88:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/memoir/memhfixc.sty:88:29:88:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/memoir/memhfixc.sty:88:30:88:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/memoir/memhfixc.sty:89:17:89:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/memoir/memhfixc.sty:89:18:89:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/memoir/memhfixc.sty:89:34:89:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/memoir/memhfixc.sty:89:44:89:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/memoir/memhfixc.sty:89:69:89:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/memoir/memhfixc.sty:89:70:89:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/memoir/memhfixc.sty:92:4:92:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/memoir/memhfixc.sty:92:13:92:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/memoir/memhfixc.sty:92:14:92:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/memoir/memhfixc.sty:92:15:92:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/memoir/memhfixc.sty:92:19:92:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/memoir/memhfixc.sty:93:4:93:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/memoir/memhfixc.sty:93:11:93:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/memoir/memhfixc.sty:93:12:93:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/memoir/memhfixc.sty:93:13:93:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/memoir/memhfixc.sty:93:17:93:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/memoir/memhfixc.sty:94:4:94:4: s204 missing stylistic whitespaces
