texmf-dist/tex/latex/modernruler/modernruler.sty:183:54:183:54: e304 unexpected parameter number
texmf-dist/tex/latex/modernruler/modernruler.sty:47:17:47:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:47:35:47:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:48:17:48:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:48:39:48:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:49:22:49:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:49:23:49:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:49:32:49:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:54:21:54:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:58:36:58:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:58:37:58:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:58:45:58:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:59:26:59:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:59:27:59:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:59:34:59:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:60:26:60:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:60:27:60:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:60:36:60:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:61:29:61:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:61:30:61:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:61:47:61:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:62:28:62:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:62:29:62:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:62:43:62:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:63:28:63:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:63:29:63:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:63:42:63:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:64:26:64:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:64:27:64:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:64:34:64:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:65:26:65:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:65:27:65:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:65:39:65:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:66:24:66:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:66:25:66:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:66:37:66:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:67:28:67:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:67:29:67:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:67:42:67:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:188:31:188:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:188:34:188:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:188:38:188:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:188:39:188:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:189:12:189:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:189:29:189:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:235:1:235:88: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:252:1:252:88: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:259:1:259:93: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:261:1:261:83: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:267:30:267:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:267:33:267:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:283:1:283:84: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:290:30:290:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:290:33:290:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:304:1:304:85: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:313:41:313:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:313:46:313:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:313:53:313:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:313:54:313:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:318:20:318:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:318:29:318:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:318:30:318:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:318:45:318:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:318:50:318:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:319:1:319:106: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:319:14:319:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:319:53:319:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:319:54:319:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:319:66:319:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:319:67:319:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:321:2:321:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:322:42:322:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:322:45:322:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:322:52:322:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:322:53:322:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:327:20:327:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:327:29:327:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:327:30:327:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:329:2:329:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:362:48:362:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:363:1:363:83: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:363:30:363:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:363:35:363:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:364:48:364:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:365:1:365:83: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:365:30:365:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:365:36:365:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:366:48:366:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:367:1:367:82: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:368:1:368:91: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:368:44:368:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:368:50:368:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:368:76:368:76: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:368:81:368:81: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:369:1:369:91: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:369:44:369:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:369:50:369:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:369:76:369:76: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:369:82:369:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:370:1:370:90: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:370:44:370:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:370:50:370:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:371:37:371:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:371:43:371:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:372:41:372:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:372:47:372:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:377:13:377:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:377:25:377:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:382:32:382:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:382:37:382:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:385:23:385:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:385:35:385:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:390:1:390:88: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:396:1:396:88: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:404:1:404:84: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:408:14:408:14: s204 missing stylistic whitespaces
