texmf-dist/tex/latex/nicetext/niceverb.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/nicetext/niceverb.sty:1:17:1:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:1:24:1:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:1:25:1:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:2:18:2:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:2:26:2:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:2:27:2:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:23:17:23:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:23:26:23:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:23:29:23:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:23:55:23:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:28:17:28:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:28:25:28:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:32:17:32:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:32:25:32:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:38:17:38:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:38:27:38:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:38:37:38:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:56:13:56:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:56:14:56:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:56:30:56:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:56:31:56:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:123:13:123:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:123:26:123:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:123:29:123:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:123:30:123:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:124:17:124:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:124:31:124:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:124:34:124:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:125:28:125:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:126:32:126:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:126:46:126:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:126:65:126:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:127:13:127:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:127:14:127:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:127:28:127:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:127:29:127:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:127:30:127:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:146:17:146:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:146:33:146:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:146:34:146:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:170:13:170:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:170:29:170:29: s204 missing stylistic whitespaces
