texmf-dist/tex/latex/nwejm/nwejmart.cls:465:37:465:37: e300 unexpected function call argument
texmf-dist/tex/latex/nwejm/nwejmart.cls:467:59:467:59: e300 unexpected function call argument
texmf-dist/tex/latex/nwejm/nwejmart.cls:24:1:24:13: w101 unexpected delimiters
texmf-dist/tex/latex/nwejm/nwejmart.cls:25:14:25:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:25:15:25:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:25:20:25:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:25:21:25:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:25:22:25:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:25:41:25:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:25:42:25:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:25:43:25:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:25:62:25:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:26:2:26:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:27:5:27:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:27:15:27:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:27:47:27:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:27:49:27:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:27:50:27:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:28:13:28:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:28:14:28:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:28:19:28:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:28:20:28:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:28:21:28:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:28:50:28:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:28:51:28:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:28:52:28:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:34:4:34:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:34:13:34:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:34:40:34:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:34:54:34:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:34:72:34:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:35:51:35:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:35:52:35:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:36:13:36:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:36:14:36:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:36:19:36:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:36:20:36:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:36:21:36:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:36:50:36:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:36:51:36:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:36:52:36:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:38:1:38:82: s103 line too long
texmf-dist/tex/latex/nwejm/nwejmart.cls:38:4:38:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:38:13:38:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:38:40:38:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:39:15:39:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:39:16:39:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:40:13:40:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:40:14:40:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:40:19:40:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:40:20:40:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:40:21:40:21: s204 missing stylistic whitespaces
