texmf-dist/tex/latex/ocgx2/ocgx2.sty:1585:1:1586:66: e104 multiple delimiters `\ProvidesExpl*` in a single file
texmf-dist/tex/latex/ocgx2/ocgx2.sty:49:3:50:68: w101 unexpected delimiters
texmf-dist/tex/latex/ocgx2/ocgx2.sty:64:1:64:81: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:359:1:359:84: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:371:1:371:83: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:373:1:373:81: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:376:1:376:82: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:564:1:564:82: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:627:1:627:84: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:636:1:636:82: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:648:1:648:85: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:655:1:655:81: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:692:1:692:83: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:952:1:952:81: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:953:1:953:81: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:1193:1:1193:85: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:1204:1:1204:85: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:1894:1:1894:82: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:1906:1:1906:81: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:2157:1:2157:82: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:2178:1:2178:83: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:2222:1:2222:81: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:2492:1:2492:81: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:2493:1:2493:81: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:2712:1:2712:85: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:2720:1:2720:85: s103 line too long
texmf-dist/tex/latex/ocgx2/ocgx2.sty:2818:1:2818:83: s103 line too long
